experimentadora,identificador ,escuela ,grupo,edad,sexo , columna_a,columna_ab,columna_b,puntaje,percentil,rango,dx,
fs2000,azvs2004,1,1,7,1,10,8,4,22,75,2,superior al termino medio,
fs2000,mgm2002,1,1,6,2,7,4,4,15,25,4,inferior al termino medio ,
fs2000,aabl2005,1,1,7,2,9,6,4,19,50,3,termino medio,
fs2000,idtr2007,1,1,6,2,6,9,6,21,50,3,termino medio,
fs2000,ejoa2037,1,1,7,1,7,2,3,12,25,4,inferior al termino medio ,
fs2000,jnbv2008,1,1,6,1,8,5,6,19,50,3,termino medio,
fs2000,jos2009,1,1,7,2,9,9,3,21,50,3,termino medio,
fs2000,egnb2010,1,1,6,1,8,7,6,21,75,2,superior al termino medio,
fs2000,cnss2012,1,1,6,2,9,3,4,16,50,3,termino medio,
fs2000,ircg2014,1,1,7,1,7,10,6,23,75,2,superior al termino medio,
fs2000,asa2011,1,1,7,2,9,8,9,26,90,2,superior al termino medio,
fs2000,xsp2015,1,1,7,1,7,8,6,21,50,3,termino medio,
fs2000,agoh2016,1,1,7,1,10,9,6,25,75,2,superior al termino medio,
fs2000,eogta2017,1,1,6,1,6,5,4,15,25,4,inferior al termino medio ,
fs2000,ayag2038,1,1,7,1,10,9,5,24,75,2,superior al termino medio,
fs2000,ajbr2039,1,1,7,2,8,6,5,19,50,3,termino medio,
fs2000,damf2040,1,1,6,1,3,4,1,8,5,5,deficiente ,
fs2000,erc2041,1,1,6,1,9,8,4,21,75,2,superior al termino medio,
fs2000,mndt2042,1,1,7,2,9,8,12,29,95,1,superior,
fs2000,fnmp2019,2,2,8,1,9,7,5,21,50,3,termino medio,
fs2000,axld2020,2,2,6,1,8,7,4,19,50,3,termino medio,
fs2000,aigm2043,2,2,7,1,7,5,5,17,25,4,inferior al termino medio ,
fs2000,vmmc2021,2,2,6,2,9,9,8,26,75,2,superior al termino medio,
fs2000,axab2044,2,2,7,1,10,9,4,23,75,2,superior al termino medio,*
fs2000,epln2045,2,2,7,1,6,10,6,22,75,2,superior al termino medio,*
fs2000,asaa2046,2,2,7,2,9,8,5,22,75,2,superior al termino medio,
fs2000,aoc2022,2,3,6,2,9,7,8,24,75,2,superior al termino medio,
fs2000,fsla2023,2,3,6,2,10,9,4,23,50,3,termino medio,
fs2000,rasr2027,2,3,7,1,7,6,5,18,50,3,termino medio,
fs2000,mj2028,2,3,6,2,9,9,5,23,75,2,superior al termino medio,
fs2000,kevh2024,2,3,6,2,9,5,6,20,50,2,termino medio,
fs2000,agsf2029,2,3,6,2,8,4,5,17,25,4,inferior al termino medio ,
fs2000,yyhv2047,2,3,7,1,7,8,5,20,50,3,termino medio,
fs2000,aalr2026,2,3,7,1,6,7,6,19,50,3,termino medio,
fs2000,aizc2025,2,3,7,1,9,10,7,26,75,2,superior al termino medio,
fs2000,agbas2030,2,3,7,1,5,11,4,20,50,3,termino medio,
fs2000,jahl2048,2,3,7,2,8,8,6,22,75,2,superior al termino medio,
fs2000,jlcg2050,2,3,6,2,8,2,3,13,5,5,deficiente ,
fs2000,ajmm2051,2,3,7,2,6,9,5,20,50,3,termino medio,
fs2000,batn2031,2,4,6,1,7,5,5,17,25,4,inferior al termino medio ,
fs2000,xytj2033,2,4,6,1,7,2,2,11,5,5,deficiente ,
fs2000,fsja2052,2,4,7,1,9,6,5,20,75,2,superior al termino medio,
fs2000,rcb2034,2,4,7,1,9,8,6,23,75,2,superior al termino medio,
fs2000,ljah2053,2,4,7,1,7,6,5,18,20,3,termino medio,
fs2000,aecl2036,2,4,6,2,6,6,5,17,50,3,termino medio,
fs2000,stc2054,2,4,7,2,8,10,5,23,75,2,superior al termino medio,
fs2000,efnv2035,2,4,7,2,6,5,7,18,25,4,inferior al termino medio ,
